,,,,,,,,,,,,,,,,
Internship & Research,,,,,,,,,,,,,,,,
,,,,,,,Grade (min),Grade (max),Ages (min),Ages (max),Nationality,Region,GPA,Letter of recommendation,Essay,Transcript 
High School Internship Program,The New York County District Attorney,https://www.manhattanda.org/careers/internship-opportunities/high-school-internship/,,,2021-03-19 00:00:00,"Virtual Session 1: July 6-30, 2021
Virtual Session 2: August 2-27, 2021",10,12,,,,Manhattan,,,,
High School Summer Internship Program,Magee-Womens Research Institute,https://mageewomens.org/education/high-school-summer-internship-program/,,,2021-04-12 00:00:00,2021/07/06,11,12,,,,,,,,
Summer Stem Institute,Summer STEM institute,https://survey.alchemer.com/s3/6011215/Summer-STEM-Institute-2021,,,2021-04-16 00:00:00,"June 20th-August 1st, 2021",,,13,,,,,,Y,Y
Quarknet Summer Research Program,Fermilab,https://internships.fnal.gov/quarknet-summer-research-program/,,,2021-04-16 00:00:00,2021.06.21~2021.08.06,10,12,,,,,,,,
Summer Teen Internship,New England Aquarium,https://www.neaq.org/get-involved/internship-programs/teen-internships/,,,2021-04-21 00:00:00,2021.06.29~2021.08.13,,,15,18,,Boston or Cambridge ,,,,
Teen Summer Internships,Penn Museum of Archaeology and Anthropology,https://philaculture.org/bloomberg-arts-internship,,,2021-04-30 00:00:00,2021/06/21~2021/08/13,,,16,,,,2.5,,,
High School Explainer Program (Fall Session),New York Botanical Garden,https://www.nybg.org/learn/kids-teens/explainers/,,,2021-04-30 00:00:00,2021.09.01~2022.01.01,,,,,,,,,,
U.s. Naval Research Laboratory Internship,U.S. Naval research laboratory,https://www.nrl.navy.mil/Careers/Students/Pathways/,,,2021-05-13 00:00:00,1 year or more,,,,,,,,,,
Wolfram High School Summer Camp,Wolfram Research,https://education.wolfram.com/summer/camp/,,,2021-06-04 00:00:00,2021.07.01~2021.0717,,,,17,,,,,,
Nasa High School Internship,NASA,https://www.nasa.gov/stem/international-internships-for-students.html,,,2021-07-09 00:00:00,,,,16,,US,,3.0,,,
Wolfram Gap Year Research Opportunity,Wolfram Research,https://education.wolfram.com/gap-year/,,,2021-07-31 00:00:00,2021/09/07,,,,,,,,,,
Richard Louie Memorial Internship for High School Students,Smithsonian museum of Asian art,https://asia.si.edu/research/fellowships-internships/richardlouie/,,,2021-08-15 00:00:00,200 hour,,,16,,,,,,,
Internship,National Museum of Asian Art,https://asia.si.edu/research/fellowships-internships/richardlouie/,,,2021-08-15 00:00:00,,,,16,,,,,,,
Internship,South Carolina Aquarium,https://www.scaquarium.org/students,,,2021-08-30 00:00:00,2021.09.06,6,12,,,,,,,,
Rockefeller University Summer Science Outreach Program (SSRP),Rockefeller University,https://www.rockefeller.edu/outreach/lab-initiative/summer-science/,,,2021-10-01 00:00:00,2021/06/28~2021/08/12,,,16,,,,,,,
Science and Engineering Apprenticeship Program (SEAP),SEAP,https://seap.asee.org,,,2021-11-01 00:00:00,,9,12,16,,U.S,,,,,
Student Leaders Program,Bank of America,https://about.bankofamerica.com/en-us/what-guides-us/student-leaders.html#fbid=YOqFWPPIVUg,,,2021-11-01 00:00:00,2022/06/01~2022/08/01,11,12,,,,,,Y,,
Hopp Summer Student Program,Memorial Sloan Kettering,https://www.mskcc.org/education-training/high-school-college/hopp-summer-student,,,2021-12-01 00:00:00,2022.06.01~2022.08.15,9,12,14,,,,3.5,Y,,
The Summer Science Program (SSP),The Summer Science Program (SSP),https://summerscience.org,,,2021-12-15 0:00:00,,,,15,19,,,,,,
High School Apprenticeship,MLSC,https://www.masslifesciences.com/programs/high-school-apprenticeship/,,,2022-01-01 0:00:00,May 2021~April 2022,,,16,,,,,,,
Stanford Stars Internship Program,Stanford University,https://plasticsurgery.stanford.edu/education/stars/Apply.html,,,2022-01-01 0:00:00,,,,17,,,,,,,
Clark Scholars Program,Texas Tech University,http://www.depts.ttu.edu/honors/academicsandenrichment/affiliatedandhighschool/clarks/,,,2022-01-01 0:00:00,,,,15,20,,,,,,
Writing Internship,YCTeen,https://www.ycteenmag.org/write/ycteen.html,,,2022-02-01 0:00:00,2022.03.01~,9,12,,,,Boston ,,,,
Summer Writing Fellowship,Grub Street,https://grubstreet.org/programs/for-teens/summer-fellowship/,,,2022-02-01 0:00:00,2022.07.01~2022.07.28,10,12,16,,,,3,,,
Internship Program,San Diego Supercomputer Center,http://education.sdsc.edu/studenttech/?page_id=657,,,2022-02-15 0:00:00,,11,11,16,,US,,,Y,,
Simons Summer Research Program,Stony Brook University,https://www.stonybrook.edu/commcms/simons/applying_to/nomination.php,,,2022-03-01 0:00:00,Summer 2022,10,12,,,,,,,,
Columbia University Science Honors Program,columbia university,http://www.columbia.edu/cu/shp/,,,2022-03-01 0:00:00,,,,16,,US,,,Y,,
Eugene and Ruth Roberts Summer Student Academy,City of Hope,https://www.cityofhope.org/education/students-and-youth/summer-student-academy,,,2022-03-01 0:00:00,,12,12,,,,,,Y,,
Fred Hutch Summer Bio Medical Research Intern,Fred Hutch,https://www.fredhutch.org/en/careers/internship-opportunities/high-school-internship.html,,,2022-03-01 0:00:00,,11,12,16,,US,,,Y,,
National Space Club and Foundation Scholars Program Intern,National Space Club and Foundation,https://www.spaceclub.org/education/scholars.html,,,2022-03-01 0:00:00,2022/07/01~2022/08/01,10,11,,,,,,,,
Applied Research Innovations in Science and Engineering (Arise),The NYU Tandon School of Engineering,https://engineering.nyu.edu/academics/programs/k12-stem-education/student-programs/arise,,,2022-03-01 0:00:00,2021/06/01,10,12,,,,NYC,,,,
Research Internship,Seattle Children's Hospital,https://www.seattlechildrens.org/research/centers-programs/science-education-department/high-school-training-programs/,,,2022-03-01 0:00:00,,,,,,,Western Washington,,,,
Summer Workshop,New England High School Journalism Collaborative,http://nehsjc.org/summer-workshop/,,,2022-03-01 0:00:00,Summer 2022,,,,,,New England states,,Y,,
American Museum of Natural History Science Research Mentoring Program,american museum of natural history,http://www.amnh.org/education/srmp,,,2022-03-15 0:00:00,2022/09/01~2021/06/01,10,11,,,,,,,,
High School Apprenticeship Program,Army Educational Outreach Program,https://www.usaeop.com/program/hsap/,,,2022-03-31 0:00:00,,,,,,US,,,,,
Stanford Cardiovascular Surgery Internship,Stanford School of Medicine,http://med.stanford.edu/cssec/summer-internship.html,,,2022-04-01 0:00:00,,,,16,,,,,Y,,
High School Internship,Dartmouth-Hitchock,https://dhwri.org/high-school-and-undergraduate-summer-internship-program/high-school-internships/,,,2022-04-05 0:00:00,2021.06.28~,,,16,,,,,,,
Bank of America Student Leaders,bank of america,https://about.bankofamerica.com/en/making-an-impact/student-leaders,,,2022-06-01 0:00:00,,11,12,,,,,,,,
The Arete Internship Program - Education,Arete Education,https://www.areteeducation.org/programs,,,,,,,,,,,,,,
Internship Program for Aspiring Artist Entrepreneurs,Arete Education,https://www.areteeducation.org/programs,,,,,,,,,,,,,,
Arete's Internship Program - Stem,Arete Education,https://www.areteeducation.org/programs,,,,,,,,,,,,,,
Volunteer,Sierra Club,https://www.sierraclub.org/volunteer,,,,"Fall 2020 (Oakland and D.C. ONLY), Spring 2021, and Summer 2021",,,,,,,,,,
High School Internship and Volunteer Positions,Artists for Humanity,https://afhboston.org/getinvolved.html,,,,,,,14,,,Boston,,,,
Summer Internship,National Inventors Hall of Fame,https://www.invent.org/programs/leadership-intern,,,,,9,12,,,,,,,,
Internship,USDA Agricultural Library,https://www.nal.usda.gov/main/about-us/internships,,,,,,,16,,,,,,,
Draper Highschool Summer Internship,Cambridge,https://www.draper.com/careers/student-opportunities,,,,,,,16,,,,,,,
Youth Science Fellowship,UC Irvine Cancer Research Institute,https://cancerresearch.uci.edu/youth-science-fellowship-program/,,,,,11,12,,,,Orange County,,,,
Youth in Action,Hyde Square,https://www.hydesquare.org/join-jovenes-en-accion/,,,,2021.03.29~2021.06.11,8,12,,,,,,,,
Summer Internship,Jersey City Youth Works,https://www.jerseycityyouthworks.org/jersey-city-summer-internship-program/,,,,6 weeks,11,11,,,,Jersey City,,,,
Volunteer,Massachusetts General Hospital,https://www.massgeneral.org/volunteer/becoming-a-volunteer/junior-volunteer-program,,,,,,,,,,,,,,
Fellowship,Earth Watch,https://earthwatch.org/education/education-fellowships/student-fellowships/ignite,,,,,,,,,,,,,,
Print High School Internships,HP inc.,https://jobs.hp.com/ShowJob/Id/8684/Print%20High%20School%20Internships?prefilters=none&CloudSearchLocation=none&CloudSearchValue=none,,,,,9,12,,,,,,,,
Saltz Internship Program,AMNH,https://www.amnh.org/learn-teach/teens/saltz-internship-program,,,,,9,11,14,,,NYC,,,,
Princeton Plasma Physics Laboratory High School Student Intern,Princeton Plasma Physics Laboratory,https://www.pppl.gov/education/science-education/programs/high-school-semester-long-internship-high-school-summer,,,2021-04-30 0:00:00,,12,12,16,,US,,,,,
Zlab Research Positions,Columbia University,http://www.columbia.edu/cu/zlab/positions.html,,,,,,,14,,,,,,,
Internship and Volunteer Programs,The Smithsonian Institution,https://www.si.edu/youth-programs,,,,,9,12,,,,,,,,
Pathmaker Scholars Cancer Research Program,University of Utah Health,https://uofuhealth.utah.edu/huntsman/research-areas/cancer-health-equity/programs/pathmaker/scholars.php,,,,,,,,,US,,,,,
Los Almos Fall/spring High School Internship,Los Alamos National Laboratoty,https://www.lanl.gov/careers/career-options/student-internships/high-school/index.php,,,2021-04-12 0:00:00,,,,16,,,Northern New Mexico ,3,,,
Volunteer & Internship,Liberty Science Center,https://lsc.org/volunteer,,,,,,,,,,,,,,
Summer Research Experience,UW Medicine,https://neurosurgery.uw.edu/education/summer-student-programs,,,,,,,18,,,,,,,
High School Internship,Idaho National Laboratory,https://inl.gov/inl-initiatives/education/high-school-internships/,,,,,,,16,,US,,,,,