Internship,Age/Grade,Stipend,Length/Dates,Location,Website,Other Requirements
SIMR,"16, G11/12",$500+,"8 weeks, June-August",Stanford,https://simr.stanford.edu/,US Citizen or permanent resident living in US
Laboratory Learning Program,16,$18/hr,5-6 weeks,Princeton,https://research.princeton.edu/about-us/internships/laboratory-learning-program,"US Citizen, permanent resident, or international student at US school"
HSAP,G10/11,$10/hr,8-10 weeks,varies,https://www.usaeop.com/program/hsap/,"US Citizen/permanent resident, must meet 2 requirements for being underprivileged/underrepresented in STEM"
REAP,HS,yes,5-8 weeks,varies,https://www.usaeop.com/program/reap/,"US Citizen/permanent resident, must meet 2 requirements for being underprivileged/underrepresented in STEM"
STaRS,"16, HS or undergrad",,7 weeks,Stanford,https://plasticsurgery.stanford.edu/education/stars/welcome.html,
SHIP,G11,yes,6-7 weeks,"Seattle, WA",https://www.fredhutch.org/en/about/internships/summer-high-school-internship-program.html,
ARISE,G10/11,$500,7 weeks,NYU,https://engineering.nyu.edu/research-innovation/k12-stem-education/student-programs/arise#chapter-id-31046,must be NYC resident
REHSS,"16, G11",,"6 weeks, May-July",Vanderbilt,https://www.vanderbilt.edu/cso/rehss/index.php,must live in one of seven approved counties/stay with an adult in one of those counties during the internship
Simons Research Program,"16, G11","$1,000","6-7 weeks, June-August",Stony Brook,https://www.stonybrook.edu/simons/,Us Citizen/permanent resident
Summer Scholars Research Program,"17, G11/12",no,"6 weeks, June-July",Emory,https://winshipcancer.emory.edu/education/summer-scholars/index.html,
PPPL,"16, G12",,"fall, spring, or summer",Princeton,https://www.pppl.gov/education/science-education/programs/high-school-semester-long-internship-high-school-summer,Us Citizen/permanent resident
Digital Learning Internship,G10/11,yes,,"Chicago, IL (Field Museum)",https://www.fieldmuseum.org/visit/daily-events/high-school-digital-learning-and-science-research-internship,
HS SIP,"17, G11/12",yes,8 weeks,"MD, NC, MT, AZ, MA, MI",https://www.training.nih.gov/programs/hs-sip,
HiSTEP,G11,yes,"6 weeks, June-August","Bethesda, MD",https://www.training.nih.gov/histep,"must live w/in 40 miles of Bethesda, MD"
Summer Research Internship,G10/11/12,,6 weeks,Brown University,https://www.brown.edu/academics/biomed/departments/pathology/education/diversity-initiatives/summer-research-internship,economically disadvantaged/historically underrepresented in STEM
Roswell Park,G11,,,,http://www.roswellpark.edu/education/summer-programs/high-school-students,at least 15; US citizen/permanent resident