Name,Details,,,State,Price,Subject,URL
NSPA,Scholastic Press Association Contests,,,All States,Free,Humanities,https://studentpress.org/nspa/awards-3/
BAEN,Jim Baen Memorial Short Story Award,,,All States,Free,Humanities,https://www.baen.com/contest-jbmssa
The Concord Review,The Emerson Prize,,,All States,Free,Humanities,https://www.tcr.org/page-1826185
Columbia,Scholastic Press Association,,,All States,Free,Humanities,https://precollege.sps.columbia.edu/columbia-scholastic-press-association
NSS,Gerard K. Oâ€™Neill Space Settlement Contest,,,All States,Free,Astronomy,https://space.nss.org/nss-space-settlement-contest/
Microsoft,Imagine Cup,,,All States,Free,Computer Science,https://imaginecup.microsoft.com/en-us
3M Young Scientists,Annual Challenge,,,All States,Free,STEM,https://youngscientistlab.com/annual-challenge/about-the-challenge
Space Set,International Space Settlement Design Competition,,,All States,Free,Astronomy,https://spaceset.org/the-competition/
Alliance for Young Artists,Scholastic Art & Writing Awards,,,All States,Free,Art,https://www.artandwriting.org/awards/
Young Arts,National Arts Competition,,,All States,Free,Art,https://youngarts.org/apply/
Bow Seat,Ocean Awareness Contest,,,All States,Free,STEM,https://bowseat.org/programs/ocean-awareness-contest/contest-overview/
PTA,Reflections Competition,,,All States,Free,Art,https://www.pta.org/home/programs/reflections
Google Doodles,Doodle Competition,,,All States,Free,Art,https://doodles.google/
Cool Science,Annual Art Competition on Weather,,,All States,Free,Art,https://www.coolscience.net/the-extreme-weather-art-competition
US Gov't,Congressional Art Competition,,,All States,Free,Art,https://www.house.gov/educators-and-students/congressional-art-competition
Samsung,Solve For Tomorrow,,,All States,Free,STEM,https://www.samsung.com/us/solvefortomorrow/
JSHS,Junior Science & Humanities Competition,,,All States,Free,Mixed,https://jshs.org/
IIT,Bridge Building Contest,,,All States,Free,Art,http://bridgecontest.phys.iit.edu/
Rocket Contest,American Rocketry Challenge,,,All States,Free,STEM,https://rocketcontest.org/
NASA,Human Exploration Rover Challenge,,,All States,Free,STEM,https://www.nasa.gov/learning-resources/nasa-human-exploration-rover-challenge/
FIRST,Robotics Competition,,,All States,Free,Engineering,https://www.firstinspires.org/robotics/frc
Vex,Robotics Competition,,,All States,Free,Engineering,https://recf.org/vex-robotics-competition/
Mate Rov,Underwater Robotics Competition,,,All States,Free,Engineering,https://materovcompetition.org/
Shell,Eco-Marathon Competition,,,All States,Free,Engineering,https://www.shellecomarathon.com/
ACSL,American Computer Science League,,,All States,Free,Computer Science,https://www.acsl.org/
Air Force,Cyber Patriot Competition,,,All States,Free,Computer Science,https://www.uscyberpatriot.org/Pages/Competition/Competition-Overview.aspx
Genes In Space,GIS Challenge,,,All States,Free,STEM,https://www.genesinspace.org/us-contest/
MAA,AMC 10 & 12,,,All States,Free,Mathematics,https://maa.org/math-competitions/amc-1012
MAA,AIME,,,All States,Free,Mathematics,https://maa.org/math-competitions/american-invitational-mathematics-examination-aime
ARML,American Regions Mathematics League,,,All States,Free,Mathematics,https://www.arml.com/ARML/arml_2019/page/index.php?page_type=public&page=home
HMMT,Mathematics Competition,,,All States,Free,Mathematics,https://www.hmmt.org
NSPS,Trig-Star Competition,,,All States,Free,Mathematics,https://nsps.us.com/general/custom.asp?page=TrigStar
MathWorks,Math Modeling Challenge,,,All States,Free,Mathematics,https://www.mathworks.com/academia/student-competitions/mathworks-math-modeling-challenge.html
Qubes,SCUDEM - SIMIODE Challenge,,,All States,Free,Mathematics,https://qubeshub.org/community/groups/scudem
Stanford,Math Tournament,,,CA,Free,Mathematics,https://www.stanfordmathtournament.com/
UC Berkeley,Berkeley Math Tournament,,,CA,Free,Mathematics,https://berkeley.mt/
Caltech,CMM Math Tournament,,,CA,Free,Mathematics,https://www.caltechmathmeet.org/registration
Princeton,PUMaC Math Competition,,,NJ,Free,Mathematics,https://pumac.princeton.edu/#index
CMU,CMIMC Math Competition,,,PA,Free,Mathematics,https://cmimc.math.cmu.edu/
Duke,Duke Math Meet,,,NC,Free,Mathematics,https://math.duke.edu/duke-math-meet
Caribou,Math Contest,,,All States,Free,Mathematics,https://www.cariboutests.com/
MMaths,Girls in Math,,,All States,Free,Mathematics,https://www.mmaths.org/
Purple Comet,Math Meet,,,All States,Free,Mathematics,https://purplecomet.org/?action=information/summary
Mu Alpha Theta,Math Minutes Video Contest,,,All States,Free,Mathematics,https://mualphatheta.org/mathematical-minutes
MAA,USAMO,,,All States,Free,Mathematics,https://maa.org/math-competitions/united-states-of-america-mathematical-olympiad-usamo-1
National Speech & Debate,Speech & Debate Tournament,,,All States,Free,Humanities,https://www.speechanddebate.org/national-tournament-2024/
US Gov't,Congressional App Challenge,,,All States,Free,Computer Science,https://www.congressionalappchallenge.us/
OSTI,National Science Bowl,,,All States,Free,STEM,https://science.osti.gov/wdts/nsb
CEE,National Economics Challenge,,,All States,Free,Humanities,https://www.councilforeconed.org/programs/for-students/national-economic-challenge/
Toshiba,ExploraVision,,,All States,Free,STEM,https://www.exploravision.org/what-exploravision/
IMO,International Mathematical Olympiad,,,All States,Free,Mathematics,https://www.imo-official.org/
IphO,International Physics Olympiad,,,All States,Free,Physics,https://ipho-unofficial.org/
IBO,International Biology Olympiad,,,All States,Free,Biology,https://www.ibo-info.org/en/
DECA,Business Competition,,,All States,Free,Business,https://www.deca.org/compete
Davidson Institute,Fellows Scholarship Competition,,,All States,Free,Mixed,https://www.davidsongifted.org/gifted-programs/fellows-scholarship/
MIT,THINK Scholars Program,,,All States,Free,STEM,https://think.mit.edu/
USACO,USA Computing Olympiad,,,All States,Free,Computer Science,https://usaco.org/
IHO,International History Olympiad,,,All States,Free,Humanities,https://www.historyolympiad.com/
Genius,GENIUS Olympiad,,,All States,Free,STEM,https://geniusolympiad.org/index.html
IOL,International Linguistics Olympiad,,,All States,Free,Humanities,https://ioling.org/
Diamond Challenge,Entrepreneurship Challenge,,,All States,Free,Business,https://diamondchallenge.org/
CEE,USA BIOlympiad,,,All States,Free,Biology,https://www.cee.org/programs/usa-biolympiad
Harvard,HPEC Economics Challenge,,,MA,Free,Business,https://www.thehuea.org/hpec
Blue Ocean,Entrepreneurship Competition,,,All States,Free,Business,https://blueoceancompetition.org/compete/
PLTMC,Plant The Moon Challenge,,,All States,Free,Astronomy,https://plantthemoon.com/
UN,World Wildlife Day Youth Art Contest,,,All States,Free,STEM,https://unric.org/en/world-wildlife-day-youth-art-contest/
Engineer Girl,Writing Contest,,,All States,Free,Engineering,https://www.engineergirl.org/128750/EngineerGirl-Writing-Contest
AAN,Neuroscience Research Competition,,,All States,Free,Medicine,https://aan.secure-platform.com/a/gallery/rounds/7/details/7068
Stemco,ChemiCo,,,All States,Free,Chemistry,https://stemco.org/chemico/
Kenyon Review,Patricia Grodd Poetry Prize,,,All States,Free,Humanities,https://kenyonreview.org/submit/patricia-grodd/
WHA,World Historian Student Essay Competition,,,All States,Free,Humanities,https://www.thewha.org/wha-awards/world-historian-student-essay-competition/
USAD,US Academic Decathlon,,,All States,Free,Humanities,https://www.usad.org/Home.aspx
Conrad,Conrad Challenge,,,All States,Free,STEM,https://www.conradchallenge.org/
DI,Destination Imagination Challenge,,,All States,Free,Mixed,https://www.destinationimagination.org/challenge-experience/
QU,National Academic Championship,,,All States,Free,Mixed,https://qunlimited.com/high-school-national-detail/
NAL,National Academic League,,,UT,Free,Mixed,https://www.nationalacademicleague.org/Default.asp
OM,Odyssey of the Mind,,,All States,Free,Mixed,https://www.odysseyofthemind.com/
MAA,USAJMO,,,All States,Free,Mathematics,https://artofproblemsolving.com/wiki/index.php/United_States_of_America_Junior_Mathematical_Olympiad
CMU,MOP Mathematical Olympiad Summer Program,,,All States,Free,Mathematics,https://artofproblemsolving.com/wiki/index.php/Mathematical_Olympiad_Summer_Program
UIL,University Interscholastic League,,,TX,Free,Mixed,https://www.uiltexas.org/academics
NAOT,National Championship Tournament,,,All States,Free,Mixed,https://www.naqt.com/hsnct/
ACS,National Chemistry Olympiad,,,All States,Free,Chemistry,https://www.acs.org/education/students/highschool/olympiad.html
IAC,International Academic Competitions,,,All States,Free,Mixed,https://www.iacompetitions.com/
TSAWeb,High School Competitions,,,All States,Free,Mixed,https://tsaweb.org/competitions-programs/tsa/high-school-competitions
Botball,Botball Scholarship Competition,,,All States,Free,Engineering,https://www.kipr.org/botball
C-Span,Student Documentary Competition,,,All States,Free,Humanities,https://www.studentcam.org/
CEE,National Economics Challenge,,,All States,Free,Business,https://econchallenge.unl.edu/
AATF,National French Contest,,,All States,Free,Humanities,https://www.frenchteachers.org/concours/##
NHSMTC,National Mock Trial Championship,,,DE,Free,Humanities,https://www.nationalmocktrial.org/
IGEM,Synthetic Biology Competition,,,All States,Free,Biology,https://competition.igem.org/
UPENN,Wharton Investment Competition,,,All States,Free,Business,https://globalyouth.wharton.upenn.edu/investment-competition/
Stiftung,Citizen Entrepreneurship Competition,,,All States,Free,Business,https://entrepreneurship.de/en/competition
EntrePlanet,Global Youth Entrepreneurship Challenge,,,All States,Free,Business,https://entreplanet.org/GYEC/
SHU,Pirates Pitch Competition,,,NJ,Free,Business,https://www.shu.edu/undergraduate-admissions/pirates-pitch-competition.html
Big Idea SD,Big Idea Competition,,,All States,Free,Business,https://bigideasd.com/
Lassonde,Utah Entrepreneur Challenge,,,UT,Free,Business,https://lassonde.utah.edu/hsuec/
IGNITEWV,Business Competition,,,WV,Free,Business,https://ignitewv.com/
SAGE Global,Entrepreneurship Competition,,,All States,Free,Business,https://www.sageglobal.org/
Regeneron,ISEF Competition,,,All States,Free,STEM,https://www.societyforscience.org/isef/